Number,Name,Surface Finish Front,Surface Finish Back
81,Churning Stomachs,semi-gloss,semi-gloss
82,Crystal Rampart,semi-gloss,semi-gloss
83,Dive for Cover,semi-gloss,semi-gloss
84,Flopsie Flop,semi-gloss,semi-gloss
85,Immobilize,semi-gloss,semi-gloss
86,Misdirection,semi-gloss,semi-gloss
87,Riding the Crest,semi-gloss,semi-gloss
88,Stand Firm,semi-gloss,semi-gloss
89,Take the High Ground,semi-gloss,semi-gloss
90,Ward Off,semi-gloss,semi-gloss
91,Charisma,semi-gloss,semi-gloss
92,Contemplate,semi-gloss,semi-gloss
93,Incinerate,semi-gloss,semi-gloss
94,Meditate,semi-gloss,semi-gloss
95,Pai Sho Mastery,semi-gloss,semi-gloss
96,Run the Blockade,semi-gloss,semi-gloss
97,Sculpted Flame,semi-gloss,semi-gloss
98,Training Scroll,semi-gloss,semi-gloss
99,Water Kata,semi-gloss,semi-gloss
100,Yip Yip!,semi-gloss,semi-gloss
101,Bad Breath,semi-gloss,semi-gloss
102,Channel the Winds,semi-gloss,semi-gloss
103,Dust Storm,semi-gloss,semi-gloss
104,Expendable Troops,semi-gloss,semi-gloss
105,Fiery Temper,semi-gloss,semi-gloss
106,Flying Staff Technique,semi-gloss,semi-gloss
107,Glorious Feast,semi-gloss,semi-gloss
108,Head Over Heels,semi-gloss,semi-gloss
109,Highway Robbery,semi-gloss,semi-gloss
110,Volcanic Fountain,semi-gloss,semi-gloss
111,Bonzu Pippinpaddle-Oppsokopolis III,semi-gloss,semi-gloss
112,Caution to the Wind,semi-gloss,semi-gloss
113,Closed-Hand Form,semi-gloss,semi-gloss
114,Lifesaver,semi-gloss,semi-gloss
115,Open-Hand Form,semi-gloss,semi-gloss
116,Roku's Guidance,semi-gloss,semi-gloss
117,Sustenance,semi-gloss,semi-gloss
118,Take Them Away,semi-gloss,semi-gloss
119,"Aang, the last airbender",semi-gloss,semi-gloss
120,"Appa, flying bison",semi-gloss,semi-gloss
121,"Katara, waterbender in training",semi-gloss,semi-gloss
122,"King Bumi, rudder of Omashu",semi-gloss,semi-gloss
123,"Momo, hungry lemur",semi-gloss,semi-gloss
124,"Monk Gyatso, Aang's mentor",semi-gloss,semi-gloss
125,"Jet, ruthless rebel",semi-gloss,semi-gloss
126,"Jojo, the kissing bandit",semi-gloss,semi-gloss
127,"Malu, a reclusive orphan",semi-gloss,semi-gloss
128,"Pirate Captain, shady trader",semi-gloss,semi-gloss
129,"Prince Zuko, exile",semi-gloss,semi-gloss
130,"Uncle Iroh, Zuko's mentor",semi-gloss,semi-gloss
131,"Afiko, bringer of ill winds",semi-gloss,semi-gloss
132,"Commander Zhao, ambitious leader",semi-gloss,semi-gloss
133,"Fire Nation Elite, hardened troops",semi-gloss,semi-gloss
134,"Kinto, cruel trickster",semi-gloss,semi-gloss
135,"Prison Warden, breaker of spirits",semi-gloss,semi-gloss
136,"Zhao's Guard, loyal firebenders",semi-gloss,semi-gloss
137,"Cabbage Merchant, unfortunate bystander",semi-gloss,semi-gloss
138,"Canyon Guide, pathfinder",semi-gloss,semi-gloss
139,"Gan Jin Tribe, children of Jin Wei",semi-gloss,semi-gloss
140,"Herbalist, mad hermit",semi-gloss,semi-gloss
141,"Zhang Tribe, children of Wei Jin",semi-gloss,semi-gloss
142,Air Scooter,semi-gloss,semi-gloss
143,Chi Absorption,semi-gloss,semi-gloss
144,Dust Funnels,semi-gloss,semi-gloss
145,Graceful Leap,semi-gloss,semi-gloss
146,Open-Palm Pushback,semi-gloss,semi-gloss
147,Zoom!,semi-gloss,semi-gloss
148,Boulder Smash,semi-gloss,semi-gloss
149,Choking Sand,semi-gloss,semi-gloss
150,Granite Block,semi-gloss,semi-gloss
151,Ground Breaker,semi-gloss,semi-gloss
152,Quarry Crush,semi-gloss,semi-gloss
153,Seismic Spring,semi-gloss,semi-gloss
154,Corona Punch,semi-gloss,semi-gloss
155,Ember Shot,semi-gloss,semi-gloss
156,Fire Sweep,semi-gloss,semi-gloss
157,Kindle,semi-gloss,semi-gloss
158,Twin Fire Daggers,semi-gloss,semi-gloss
159,Warship Barrage,semi-gloss,semi-gloss
160,Bubble Burst,semi-gloss,semi-gloss
161,Clutches of the Deep,semi-gloss,semi-gloss
162,Flash Flood,semi-gloss,semi-gloss
163,Ice Blooms,semi-gloss,semi-gloss
164,Single Water Whip,semi-gloss,semi-gloss
165,Tidal Wave,semi-gloss,semi-gloss
166,The Avatar Awakens,metal foil,semi-gloss
167,"Sokka, big brother",metal foil,semi-gloss
168,"Flopsie, Bumi's pet",metal foil,semi-gloss
169,The Kissing Bandit,metal foil,semi-gloss
170,Strata Breaker,metal foil,semi-gloss
171,Tail of the Comet,metal foil,semi-gloss
172,Shocking Revelation,metal foil,semi-gloss
173,Hollow Soul Hurricane,metal foil,semi-gloss
174,Maw of the Inferno,metal foil,semi-gloss
175,Aquatic Tendrils,metal foil,semi-gloss
176,Aang,glossy,glossy
177,Aang,glossy,glossy
178,Aang,glossy,glossy
179,Aang,glossy,glossy
180,Aang,glossy,glossy
181,Aang,glossy,glossy
182,Katara,glossy,glossy
183,Katara,glossy,glossy
184,Katara,glossy,glossy
185,Katara,glossy,glossy
186,Katara,glossy,glossy
187,Katara,glossy,glossy
188,King Bumi,glossy,glossy
189,King Bumi,glossy,glossy
190,King Bumi,glossy,glossy
191,King Bumi,glossy,glossy
192,King Bumi,glossy,glossy
193,King Bumi,glossy,glossy
194,Jojo,glossy,glossy
195,Jojo,glossy,glossy
196,Jojo,glossy,glossy
197,Jojo,glossy,glossy
198,Jojo,glossy,glossy
199,Jojo,glossy,glossy
200,Malu,glossy,glossy
201,Malu,glossy,glossy
202,Malu,glossy,glossy
203,Malu,glossy,glossy
204,Malu,glossy,glossy
205,Malu,glossy,glossy
206,Prince Zuko,glossy,glossy
207,Prince Zuko,glossy,glossy
208,Prince Zuko,glossy,glossy
209,Prince Zuko,glossy,glossy
210,Prince Zuko,glossy,glossy
211,Prince Zuko,glossy,glossy
212,Uncle Iroh,glossy,glossy
213,Uncle Iroh,glossy,glossy
214,Uncle Iroh,glossy,glossy
215,Uncle Iroh,glossy,glossy
216,Uncle Iroh,glossy,glossy
217,Uncle Iroh,glossy,glossy
218,Afiko,glossy,glossy
219,Afiko,glossy,glossy
220,Afiko,glossy,glossy
221,Afiko,glossy,glossy
222,Afiko,glossy,glossy
223,Afiko,glossy,glossy
224,Commander Zhao,glossy,glossy
225,Commander Zhao,glossy,glossy
226,Commander Zhao,glossy,glossy
227,Commander Zhao,glossy,glossy
228,Commander Zhao,glossy,glossy
229,Commander Zhao,glossy,glossy
230,Kinto,glossy,glossy
231,Kinto,glossy,glossy
232,Kinto,glossy,glossy
233,Kinto,glossy,glossy
234,Kinto,glossy,glossy
235,Kinto,glossy,glossy
ABK001,"Toph, earthbender",semi-gloss,semi-gloss
ABK002,"Princess Azula, firebender",semi-gloss,semi-gloss
ABK003,Racing with the Wind,semi-gloss,semi-gloss
ABK004,In The Breach,semi-gloss,semi-gloss
ABK005,Juggle,semi-gloss,semi-gloss
ABK006,Taming the Flame,semi-gloss,semi-gloss
ABK007,Water Whirl,semi-gloss,semi-gloss
ABK008,Boulder Roll,semi-gloss,semi-gloss
APR001,Appa's Wild Ride,semi-gloss,semi-gloss
APR002,Sokka's Mettle,semi-gloss,semi-gloss
FPR001,Air Cannon Aang,glossy,glossy
FPR002,Fire Blast Zuko,glossy,glossy
FPR003,Ice Attack Aang,glossy,glossy
XAPR001,Appa's Wild Ride in Plastic,holographic,semi-gloss
XAPR002,Sokka's Mettle in Plastic,holographic,semi-gloss
XBK001,Stack Attack Toph,plastic film,plastic film
XBK002,Lava Launch Azula,plastic film,plastic film
XBK003,Air Scooter Aang,plastic film,plastic film
XBK004,Rip 'n Whirl Sokka,plastic film,plastic film
XBK005,Master Airbender,plastic film,plastic film
XBK006,Flame Tame Zuko,plastic film,plastic film
XBK007,Water Swirl Katara,plastic film,plastic film
XBK008,Boulder Roll,plastic film,plastic film
XDVD001,DVD - Book 1 Volume 1,holographic,plastic film
XDVD002,DVD - Book 1 Volume 2,holographic,plastic film
K3474,Ice Attack Aang,plastic film,plastic film
H9748,Air Cannon Aang,plastic film,plastic film
L1234,Fire Blast Zuko,plastic film,plastic film
STRT001,Sealed Starter Set,plastic film,plastic film
STRT002,Sealed Starter Deck in Acrylic - Aang,glossy,glossy
STRT003,Sealed Starter Deck in Acrylic - Katara,glossy,glossy
STRT004,Sealed Starter Deck in Acrylic - King Bumi,glossy,glossy
STRT005,Sealed Starter Deck in Acrylic - Jojo,glossy,glossy
STRT006,Sealed Starter Deck in Acrylic - Malu,glossy,glossy
STRT007,Sealed Starter Deck in Acrylic - Prince Zuko,glossy,glossy
STRT008,Sealed Starter Deck in Acrylic - Uncle Iroh,glossy,glossy
STRT009,Sealed Starter Deck in Acrylic - Afiko,glossy,glossy
STRT010,Sealed Starter Deck in Acrylic - Commander Zhao,glossy,glossy
STRT011,Sealed Starter Deck in Acrylic - Kinto,glossy,glossy
BSTR001,Foil Booster Pack,metal foil,metal foil
BSTR002,Blister Pack,semi-gloss,cardboard
BSTR003,Double Blister Pack,semi-gloss,cardboard
BSTR004,Booster Box,plastic film,plastic film
RLBK001,Official Rulebook,semi-gloss,semi-gloss
PLMT001,Paper PlayMat,semi-gloss,semi-gloss
PLMT002,Fabric PlayMat,fabric,rubber
MTBX001,Empty Starter Box,matte,glossy
MTBX002,Empty Acrylic Starter Deck Box,glossy,glossy
PSTR001,Be The Avatar Poster,semi-gloss,semi-gloss
PSTR002,Experience The Legend Poster,semi-gloss,semi-gloss
PSTR003,Master The Elements Poster,semi-gloss,semi-gloss
