Number,Name,Image Link,Type,Rarity,Set,Back Image Link,Traits,Intercept,Force,Green Energy,Yellow Energy,Red Energy,Rules Text,Flavor Text,Obtained Via,Description,ChamberFrontI,ChamberFrontF,ChamberFrontG,ChamberFrontY,ChamberFrontR,ChamberFrontRul,ChamberFrontFlav,ChamberBackI,ChamberBackF,ChamberBackG,ChamberBackY,ChamberBackR,ChamberBackRul,ChamberBackFlav
42,Blowback,https://github.com/zolodio/Avatar-TCG-Database/raw/main/42.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,5,5,1,2,,Your opponent skips defending in his or her green zone.,"In the War's early years, Malu mastered Airbending skills that helped her survive.","STRT001, STRT006, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
43,Creeping Crystal,https://github.com/zolodio/Avatar-TCG-Database/raw/main/43.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,6,6,1,1,1,"-4 Intercept → When you counterattack, your opponent moves one of his or her allies to one of your empty ally spaces.","""By nightfall your friends will be completely covered. Terrible fate, really.""","STRT001, STRT006, STRT009, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
44,Dancing Mists,https://github.com/zolodio/Avatar-TCG-Database/raw/main/44.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,4,6,1,2,,"While this zone is charged, Dancing Mists has +2 Intercept.",,"STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
45,Double Crest,https://github.com/zolodio/Avatar-TCG-Database/raw/main/45.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,6,3,2,1,,"For each ally you have, Double Crest has +1 Force.",,"STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
46,Hurricane Vault,https://github.com/zolodio/Avatar-TCG-Database/raw/main/46.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,3,5,2,,,Your opponent skips defending in his or her green zone.,"Ten years into the War, Matu stopped hiding and began fighting Fire Nation Soliders.","STRT001, STRT006, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
47,Just Desserts,https://github.com/zolodio/Avatar-TCG-Database/raw/main/47.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,7,1,,2,,"When you counterattack from a charged zone, add a green energy.","""The secret is in the gooey center.""","STRT001, STRT009, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
48,Million Gallon Attack,https://github.com/zolodio/Avatar-TCG-Database/raw/main/48.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,6,6,1,1,1,"-2 Intercept → When you counterattack, charge this zone. Use only once.",Katara strives to wash away the evils of the Fire Nation.,"STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
49,Mischievous Downpour,https://github.com/zolodio/Avatar-TCG-Database/raw/main/49.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,3,4,1,,,"Reflip: Green | When you counterattack, charge this zone.","The Avatar is the world's most powerful bender, but at heart, Aang is still just a kid.","STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
50,Sea Sphere,https://github.com/zolodio/Avatar-TCG-Database/raw/main/50.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,5,5,,2,,"When you counterattack, charge this zone.",She helps an angry sea find its target.,"STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
51,Snowball Smash,https://github.com/zolodio/Avatar-TCG-Database/raw/main/51.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,8,5,,2,1,"When you counterattack, charge this zone.",,"STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
52,Stifling Breeze,https://github.com/zolodio/Avatar-TCG-Database/raw/main/52.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,6,4,3,,,"While your opponent is defending, your allies cannot be moved or eliminated.",A master Airbender can form a barrier that not even a Yuyan archer can pierce.,"STRT001, STRT009, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
53,Stifling Wind,https://github.com/zolodio/Avatar-TCG-Database/raw/main/53.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,5,6,,1,1,"While your opponent is defending, your allies cannot be moved or eliminated.","""Nowhere does the novice make his inexperience clearer than in his choice of opponents""","STRT001, STRT009, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
54,Surf Spray,https://github.com/zolodio/Avatar-TCG-Database/raw/main/54.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,5,2,,2,,"When you counterattack, add a green energy for each charged zone you have.",,"STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
55,Sweet Revenge,https://github.com/zolodio/Avatar-TCG-Database/raw/main/55.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,5,3,3,,,"-1 Intercept → When you counterattack, add a green energy.","Aang learned his mischievous ways from his mentor, Monk Gyatso.","STRT001, STRT009, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
56,Tandem Attack,https://github.com/zolodio/Avatar-TCG-Database/raw/main/56.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,5,4,2,1,,"While you have an ally in this zone, Tandem Attack has +2 Force.","Katara, Haru and his father, Tyro, led the rebellion of the inprisoned Earthbenders.","STRT001, STRT006, STRT009, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
57,Wall of Water,https://github.com/zolodio/Avatar-TCG-Database/raw/main/57.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,8,1,,3,,"-2 Intercept → When you counterattack from a charged zone, add a yellow energy.",The trick is to form a wave but stop it from cresting.,"STRT001, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
58,Whirling Debris,https://github.com/zolodio/Avatar-TCG-Database/raw/main/58.jpg,strike,rare,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,4,4,,,1,Two Red → +3 Intercept and +3 Force. Use only once.,"Hungry for power, Afiko betrayed the Airbenders everywhere and helped start the War.","STRT001, STRT009, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
59,Windmill Barrier,https://github.com/zolodio/Avatar-TCG-Database/raw/main/59.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,6,5,,2,,"While your opponent is defending, your zones cannot be uncharged.","""Don't you know better than to interrupt an old man on his morning walk?""","STRT001, STRT009, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
60,Windmill Dome,https://github.com/zolodio/Avatar-TCG-Database/raw/main/60.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,lion,7,4,1,,1,"While your opponent is defending, your zones cannot be uncharged.",,"STRT001, STRT009, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
61,Bell Ringer,https://github.com/zolodio/Avatar-TCG-Database/raw/main/61.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,4,5,1,2,,"When you counterattack, your opponent eliminates one of his or her allies.",,"STRT001, STRT002, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
62,Boomerang Toss,https://github.com/zolodio/Avatar-TCG-Database/raw/main/62.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,5,1,1,1,,Red → +5 Force. Use only once.,"You don't know whether to go left or go right, so in the end, you go down.","STRT001, STRT002, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
63,Canyon Crawler Clash,https://github.com/zolodio/Avatar-TCG-Database/raw/main/63.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,6,6,1,1,1,,"""No food in the canyon. It attracts predators. Would you rather be hungry or dead?""","STRT001, STRT004, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
64,Coal Rake,https://github.com/zolodio/Avatar-TCG-Database/raw/main/64.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,5,1,1,,1,"When you counterattack, your opponent uncharges one of his or her zones.",,"STRT001, STRT004, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
65,Downdraft,https://github.com/zolodio/Avatar-TCG-Database/raw/main/65.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,4,3,1,,,,"Air and gravity are not the same thing, but a skilled Airbender can make one imitate the other.","STRT001, STRT009, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
66,Earthbound,https://github.com/zolodio/Avatar-TCG-Database/raw/main/66.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,6,5,1,,1,,"""Flying Earthbenders? Now that's just unfair!"" -Mu Ki, Fire Nation Soldier","STRT001, STRT004, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
67,Earthbridge,https://github.com/zolodio/Avatar-TCG-Database/raw/main/67.jpg,strike,uncommon,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,5,4,2,1,,"When you counterattack, you may move one of your opponent's allies to one of that player's empty ally spaces.","""Earthbenders like to get things done. They leave the artistry to the Waterbenders.""","STRT001, STRT004, STRT005, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
68,Evade,https://github.com/zolodio/Avatar-TCG-Database/raw/main/68.jpg,strike,common,AME,https://github.com/zolodio/Avatar-TCG-Database/raw/main/cardback.jpg,,3,1,1,,,Red → +4 Intercept. Use only once.,,"STRT001, STRT002, STRT003, BSTR001, BSTR002, BSTR003, BSTR004",,,,,,,,,,,,,,,
